score,company_jp,company_en
80,日本銀行,Bank of Japan
80,日本政策投資銀行,Development Bank of Japan
80,ゴールドマンサックス,Goldman Sachs
80,JPモルガン・チェース,J.P. Morgan Chase
80,マッキンゼー&カンパニー,McKinsey & Company
80,ボストン・コンサルティング,Boston Consulting Group
80,A.T.カーニー,A.T. Kearney
80,フーリハン・ローキー,Houlihan Lokey
80,KKRジャパン,KKR Japan
80,BofA証券,BofA Securities
79,三菱商事,Mitsubishi Corporation
79,三井物産,Mitsui & Co.
79,伊藤忠商事,ITOCHU Corporation
79,みずほFG(GCF),Mizuho FG (GCF)
79,野村證券(IB・GM),Nomura Securities (IB/GM)
79,アクセンチュア(戦略),Accenture (Strategy)
79,アーサーDリトル,Arthur D. Little
79,PwCストラテジー&,PwC Strategy&
79,M&Aキャピタルパートナーズ,M&A Capital Partners
79,VISA日本,VISA Japan
79,ブラックロック日本,BlackRock Japan
78,電通,Dentsu
78,住友商事,Sumitomo Corporation
78,丸紅,Marubeni
78,三菱地所,Mitsubishi Estate
78,三井不動産,Mitsui Fudosan
78,フジテレビジョン,Fuji Television
78,日本テレビ放送網,Nippon Television
78,TBS,TBS
78,テレビ朝日,TV Asahi
78,日本生命(AC),Nissay (AC)
78,三菱UFJ銀行(GCIB),MUFG Bank (GCIB)
78,三井住友銀行(Global),SMBC (Global)
78,SMBC日興証券(NIB),SMBC Nikko (NIB)
78,三菱UFJモルガンスタンレー(IB),Mitsubishi UFJ Morgan Stanley (IB)
78,大和証券(エキスパート),Daiwa Securities (Expert)
78,キーエンス,Keyence
78,産業革新投資機構,JIC
78,インテグラル,Integral
78,日本マイクロソフト,Microsoft Japan
78,ブルームバーグ,Bloomberg
77,博報堂DY,Hakuhodo DY
77,テレビ東京,TV Tokyo
77,関西テレビ放送,Kansai TV
77,講談社,Kodansha
77,小学館,Shogakukan
77,集英社,Shueisha
77,日本郵船,NYK Line
77,商船三井,Mitsui O.S.K. Lines
77,JA共済(AC),JA Kyosai (AC)
77,東京海上日動(SPEC),Tokio Marine & Nichido (SPEC)
77,みずほ証券(GM・CIB),Mizuho Securities (GM/CIB)
77,三菱総研,Mitsubishi Research Institute
77,野村総研(経営コンサル),Nomura Research Institute (Consulting)
77,ヒューリック,Hulic
77,地主,JINUSHI
77,ストライク,Strike
77,ドリームインキュベータ,Dream Incubator
77,日本経済新聞社(記者),Nikkei (Journalist)
77,トムソン・ロイター,Thomson Reuters
76,日本取引所,Japan Exchange Group
76,国際協力銀行,JBIC
76,住友不動産,Sumitomo Realty
76,讀賣テレビ,Yomiuri Telecasting
76,産経新聞(記者),Sankei Shimbun (Journalist)
76,毎日新聞(記者),Mainichi Shimbun (Journalist)
76,任天堂,Nintendo
76,文藝春秋,Bungeishunju
76,国際協力機構,JICA
76,経営共創基盤,IGPI
76,日本M&Aセンター,Nihon M&A Center
76,ジャフコ,JAFCO
76,日本経営システム,Japan Management Systems
76,コーポレートディレクション,Corporate Directions
76,野村アセットマネジメント,Nomura Asset Management
76,Appleジャパン,Apple Japan
76,日本コカ・コーラ,Coca-Cola Japan
76,Cisco日本,Cisco Japan
76,Salesforceジャパン,Salesforce Japan
76,Netflix日本,Netflix Japan
75,トヨタ自動車,Toyota Motor
75,ソニー,Sony
75,東京エレクトロン,Tokyo Electron
75,レーザーテック,Lasertec
75,INPEX,INPEX
75,テレビ大阪,TV Osaka
75,KDDI↑,KDDI↑
75,中部日本放送,CBC
75,武田薬品工業,Takeda Pharmaceutical
75,中外製薬,Chugai Pharmaceutical
75,第一三共,Daiichi Sankyo
75,野村総合研究所(総合職),Nomura Research Institute (General)
75,三菱UFJリサーチ＆コンサルティング,Mitsubishi UFJ Research & Consulting
75,三井住友海上(Spec),Mitsui Sumitomo Insurance (Spec)
75,日興アセットマネジメント,Nikko Asset Management
75,アセットマネジメントOne,Asset Management One
75,三井住友DSアセットマネジメント,Sumitomo Mitsui DS Asset Management
75,農林中金↓,Norinchukin Bank↓
75,Amazonジャパン(総合職),Amazon Japan (General)
75,AWSジャパン,AWS Japan
75,日本オラクル,Oracle Japan
75,SAPジャパン,SAP Japan
75,Intelジャパン↓,Intel Japan↓
74,JR東海,JR Central
74,ファナック,FANUC
74,ディスコ,DISCO
74,豊田通商,Toyota Tsusho
